stop_id,stop_name,stop_type,stop_other,stop_coord
eszc,"Esztergomi csavargőzös",megszűnt (Felvidék/Szlovákia),"Kovácspatak",
eszb,"Esztergomi tábor",megszűnt megállóhely,"",
ete_,"Ete",megszűnt megállóhely,"",47.515672:18.078112
wetk,"Etelka",megszűnt kisvasúti megállóhely,"",
eter,"Eternitgyár",megállóhely,"",47.75553:18.53001
eotm,"Eötvös major",megszűnt megállóhely,"",
fabi,"Fábiánsebestyén",megállóhely,"",46.670018:20.456555
faca,"Fácánkert",megállóhely,"",46.448891:18.735761
wfak,"Fakapu",megszűnt kisvasúti megállóhely,"",
wfrn,"Fancsika",kisvasúti,"",
fara,"Farád",megállóhely,"",
wfar,"Farkasgödör Örvénykő",megszűnt állomás,"",
wfbo,"Farkasmály-Borpincék",kisvasúti,"Farkasmály-Kékes",
fkpe,"Farkaspetőfalva",(Felvidék/Szlovákia),"Vlkanová",
farm,"Farmos",megállóhely,"",47.355384:19.837427
fazz,"Fazekaszsaluzsány",megszűnt (Felvidék/Szlovákia),"Hrnčiarske Zalužan",
wfec,"Fegyvernek piactér",megszűnt kisvasúti állomás,"",
wfeb,"Fegyvernek szabadságtelep",megszűnt kisvasúti,"",
wfet,"Fegyvernek Tópart",megszűnt kisvasúti,"",
wfev,"Fegyvernek vásártér",megszűnt kisvasúti,"",
fegy,"Fegyvernek-Örményes",állomás,"Fegyvernek",
wfeu,"Fegyverneki út",megszűnt kisvasúti,"",
fehe,"Fehérgyarmat",állomás,"",47.978839:22.524313
wfhh,"Fehérhát",megszűnt kisvasúti megállóhely,"",
wfhf,"Fehértó felső",megszűnt kisvasúti,"",46.854806:19.661708
fehc,"Fehérvárcsurgó",megállóhely,"",47.285877:18.291894
fekd,"Feked",megszűnt megállóhely,"",46.150153:18.555753
fekt,"Fekete",megszűnt megállóhely,"",
fekb,"Feketebézseny",megszűnt megállóhely,"",46.719705:17.57924
fekh,"Feketehalom",megszűnt megállóhely,"",
wfeh,"Feketehalomtanya",megszűnt megállóhely,"",
fnta,"Feketenagytanya",megszűnt megállóhely,"",
wfes,"Feketeszél",megszűnt kisvasúti megállóhely,"",
fekv,"Feketeváros",(Ausztria),"Purbach/Neusiedler See",
wfek,"Feketevölgy",kisvasúti,"",
felc,"Felcsút",megszűnt megállóhely,"",47.456819:18.591281
feld,"Feldebrő",megszűnt állomás,"",47.811303:20.218782
fele,"Feled",állomás (Felvidék/Szlovákia),"Jesenské",
fist,"Felistál-Alsónyárasd",állomás (Felvidék/Szlovákia),"Dolný Štál",
wfbe,"Felsőbéda",megszűnt kisvasúti,"",
wfbi,"Felsőbikol",megszűnt kisvasúti állomás,"",
febo,"Felsőbogátpuszta",megszűnt megállóhely,"",
wfce,"Felsőcebe",megszűnt kisvasúti,"",46.644039:19.35247
fcsm,"Felsőcsemő",megszűnt,"",
fcsi,"Felsőcsinger",megszűnt teherpályaudvar,"",
feer,"Felsőerzsébetpuszta",megszűnt megállóhely,"",
fega,"Felsőgalla",megszűnt állomás,"Tatabánya felső",
fego,"Felsőgöd",megállóhely,"Göd felső",47.705479:19.143212
feja,"Felsőjánosfa",megállóhely,"Csöde-Jánosfa",46.841398:16.543627
fjan,"Felsőjánosfa régi",megszűnt megállóhely,"",
wfka,"Felsőkak",kisvasúti állomás,"",46.481532:17.509821
feko,"Felsőkörtvélyes",megszűnt megállóhely,"Nagylók-Felsőkörtvélyes",
fela,"Felsőlajos",megállóhely,"",47.069044:19.498275
flas,"Felsőlászló",megszűnt állomás (Ausztria),"Oberloisdorf",47.446584:16.516468
flov,"Felsőlövő",megállóhely (Ausztria),"Oberschützen",
feme,"Felsőméntelek",megállóhely,"",46.987017:19.55785
femo,"Felsőmocsolád",állomás,"",46.559264:17.82164
fenk,"Felsőnyék",megszűnt megállóhely,"",46.790817:18.298917
feor,"Felsőőr",állomás (Ausztria),"Oberwart",47.290154:16.21273
fozo,"Felsőozor",megszűnt (Felvidék/Szlovákia),"",
fepa,"Felsőpakony",megállóhely,"",47.343195:19.230579
fpat,"Felsőpaty",megszűnt állomás,"",
fpel,"Felsőpél",(Felvidék/Szlovákia),"Horný Pial",
fpuy,"Felsőpulya",állomás (Ausztria),"Oberpullendorf",
fera,"Felsőrajk",állomás,"",
frec,"Felsőrécsény",(Felvidék/Szlovákia),"Rišňovce",
fstu,"Felsőstubnya",állomás (Felvidék/Szlovákia),"Horná Štubňa",
fszc,"Felsőszecse",megszűnt (Felvidék/Szlovákia),"",
fsem,"Felsőszernye",(Felvidék/Szlovákia),"Horné Srnie",
wftd,"Felsőtárkány Dohánygyári üdülő",megszűnt kisvasúti,"",
wftm,"Felsőtárkány Mészégető",megszűnt kisvasúti,"",
wfts,"Felsőtárkány Sziklaforrás",megszűnt kisvasúti,"",
wftv,"Felsőtárkány Vadaskert",megszűnt kisvasúti,"",
wftf,"Felsőtárkány-Fűtőház",kisvasúti állomás,"",47.980079:20.43216
wfva,"Felsővadács",megszűnt kisvasúti,"",
fezs,"Felsőzsolca",állomás,"",48.083651:20.866089
forh,"Felsőöreghegy",megszűnt,"Blaha Lujza fürdő",
fene,"Fenékpuszta",megállóhely,"",46.71174:17.248759
feny,"Fényes",megállóhely,"",46.659985:21.165673
fnys,"Fényesi szőlők",megszűnt megállóhely,"",
fnyl,"Fényeslitke",állomás,"",48.26742:22.107196
fnye,"Fenyves",(Felvidék/Szlovákia),"Zbojská, Remete",
wfbt,"Fenyves baromfitelep",megszűnt kisvasúti megállóhely,"",
fnyv,"Fenyveshegy",megállóhely,"Verőce-Fenyves",47.818176:19.068332
fnyo,"Fenyvesszoros",(Felvidék/Szlovákia),"Svrčinovec",
fern,"Ferencszállás",megszűnt megállóhely,"",46.199561:20.354372
frta,"Ferenctanya",megszűnt megállóhely,"",
fere,"Ferenctelep",megszűnt megállóhely,"",45.977622:17.383412
fert,"Ferenctelep SK",megszűnt állomás (Felvidék/Szlovákia),"Počkaj",
bufe,"Ferencváros",állomás,"Budapest-Ferencváros",47.468657:19.088637
feri,"Ferihegy",megállóhely,"",47.437486:19.223648
frbz,"Fertőboz",állomás,"",47.625126:16.691552
wfbm,"Fertőboz-Múzeumvasút",kisvasúti,"",47.624683:16.691976
fren,"Fertőendréd",megszűnt állomás,"",
frfh,"Fertőfehéregyháza",megállóhely (Ausztria),"Donnerskirchen",
frma,"Fertőmajor-Oka",megszűnt (Ausztria),"Oggau",
frse,"Fertőszéleskút",(Ausztria),"Breitenbrunn im Bgld",
frsz,"Fertőszentmiklós",állomás,"Eszterháza, Fertőszentmiklós-Eszterháza",47.599783:16.8598
frsa,"Fertőszentmiklós alsó",megszűnt megállóhely,"Fertőszentmiklós mh.",
frfe,"Fertőszéplak-Fertőd",állomás,"Fertőszéplak",
frul,"Fertőújlak",megszűnt állomás,"Mekszikópuszta",
fila,"Filatorigát",megállóhely,"",47.551867:19.046255
filt,"Filatorigát-Teher",megszűnt teherpályaudvar,"",47.552071:19.043753
fity,"Fityeház",megállóhely,"",46.379108:16.921526
wfod,"Fodortanya",megszűnt kisvasúti megállóhely,"",
foly,"Folyás",megszűnt megállóhely,"",
fony,"Fony",megállóhely,"",48.410955:21.242367
fnyd,"Fonyód",állomás,"",46.749661:17.556435
fnli,"Fonyódliget",megállóhely,"",46.75923:17.592556
fore,"Fornád-Kecsege",megszűnt megállóhely,"",
forr,"Forró-Encs",állomás,"",48.327541:21.117719
fot_,"Fót",állomás,"",47.611363:19.181819
fotf,"Fótfürdő",megállóhely,"",47.621735:19.200763
fotu,"Fótújfalu",megállóhely,"",47.614973:19.19283
fran,"Franciavágás",megszűnt állomás,"",47.34856:17.637392
fupe,"Fűperegpuszta",megszűnt megállóhely,"",46.317768:20.867887
wffz,"Fűzfás",megszűnt kisvasúti,"",
blfg,"Fűzfő-Gyártelep",megszűnt teherpályaudvar,"",
fzfu,"Fűzfőfürdő",megszűnt megállóhely,"",
fule,"Füle",megállóhely,"",47.050059:18.25577
fulk,"Fülek",állomás (Felvidék/Szlovákia),"Fiľakovo",
fulg,"Fülek-gyártelep",megállóhely (Felvidék/Szlovákia),"Fiľakovo zastávka, Fiľakovo továreň",
fulp,"Fülekipuszta",megszűnt megállóhely,"Szabolcsszállás",
wful,"Fülesd",megszűnt kisvasúti állomás,"",
fulo,"Fülöpszállás",állomás,"",46.821162:19.246884
furw,"Für",megszűnt (Felvidék/Szlovákia),"",
furg,"Fürged",megszűnt megállóhely,"",46.728036:18.28861
furj,"Fürjes",megállóhely,"",46.672361:21.023416
wfuz,"Füzérkomlós",megszűnt kisvasúti állomás,"",
wfur,"Füzérradvány",megszűnt kisvasúti megállóhely,"",
fzab,"Füzesabony",állomás,"",47.750706:20.412697
fzbo,"Füzesbokor",megállóhely,"",47.990012:21.645348
fzgy,"Füzesgyarmat",állomás,"",47.113059:21.194255
fzgm,"Füzesgyarmat-Macskás",megszűnt megállóhely,"Macskás",
fzgt,"Füzesgyarmat-Téglagyár",megszűnt megállóhely,"",47.087307:21.201314
fzgf,"Füzesgyarmatfürdő",megállóhely,"",47.093667:21.201592
fold,"Földeák",megszűnt állomás,"",46.313721:20.488104
forg,"Förgepatony",(Felvidék/Szlovákia),"Diósförgepatony, Orechová Potôň",
fove,"Fövenyes",megállóhely,"Antaltelep, Kiliántelep",46.893538:17.789635
fovp,"Fövenypuszta",megszűnt megállóhely,"",
wgab,"Gábortelep",megszűnt kisvasúti állomás,"",
gaac,"Gács",megszűnt állomás (Felvidék/Szlovákia),"Halič",48.351774:19.585146
gacs,"Gacsály",megállóhely,"",47.926326:22.745112
gadc,"Gadóc",(Felvidék/Szlovákia),"Hadovce",
gadr,"Gádor",megszűnt állomás (Szerbia),"",45.894638:19.071922
gado,"Gádoros",állomás,"",46.656626:20.588242
gajd,"Gajdospuszta",megszűnt megállóhely,"",
galh,"Galambház",megszűnt megállóhely,"",
gala,"Galambos",állomás,"",46.625185:19.801195
galn,"Galánta",állomás (Felvidék/Szlovákia),"Galanta",
wglb,"Galbács kert",megszűnt kisvasúti,"",
glgu,"Galgaguta",állomás,"",47.846333:19.386148
glgy,"Galgagyörk",megállóhely,"",
glhe,"Galgahévíz",megállóhely,"",47.632436:19.558486
glma,"Galgamácsa",állomás,"",47.694071:19.392509
galg,"Galgóc",(Felvidék/Szlovákia),"Hlohovec",
gals,"Gálos",(Ausztria),"Gols",
galo,"Gálosfa",megszűnt állomás,"",
gama,"Gamásza",megszűnt megállóhely,"",
gany,"Gány",(Felvidék/Szlovákia),"Gáň",
gara,"Gara",megszűnt állomás,"",
garf,"Gara felső",megszűnt megállóhely,"",
wgar,"Garadna",kisvasúti állomás,"",48.11627:20.558239
gmbr,"Garamberzence",állomás (Felvidék/Szlovákia),"Hronská Breznica",
gmda,"Garamdamásd",(Felvidék/Szlovákia),"Hronovce",
gmhi,"Garamhidvég",(Felvidék/Szlovákia),"Dubová",
gmko,"Garamkovácsi",állomás (Felvidék/Szlovákia),"Kozárovce",
gark,"Garamkövesd",megszűnt állomás (Felvidék/Szlovákia),"Kamenica nad Hronom",
gmlo,"Garamlök",(Felvidék/Szlovákia),"Lok",
gmne,"Garamnémetfalva",(Felvidék/Szlovákia),"Nemecká",
gmol,"Garamolaszka",(Felvidék/Szlovákia),"Valaská",
gmpe,"Garampéteri",(Felvidék/Szlovákia),"Predajná",
gmre,"Garamrév",(Felvidék/Szlovákia),"Voznica",
gmru,"Garamrudnó",(Felvidék/Szlovákia),"Rudno nad Hronom",
gmsa,"Garamsálfalva",(Felvidék/Szlovákia),"Šalková",
gmss,"Garamsashegy",megszűnt (Felvidék/Szlovákia),"",
gmsc,"Garamszécs",(Felvidék/Szlovákia),"Polomka",
gmse,"Garamszeg",(Felvidék/Szlovákia),"Hronsek",
gmbe,"Garamszentbenedek",(Felvidék/Szlovákia),"Hronský Beňadik",
gmke,"Garamszentkereszt",(Felvidék/Szlovákia),"Žiar nad Hronom",
gard,"Gárdony",állomás,"",47.205996:18.624723
gasp,"Gáspárd",(Felvidék/Szlovákia),"Gašparovo",
gate,"Gátér",állomás,"",46.685021:19.9623
wgav,"Gávavencsellő",megszűnt kisvasúti,"",
wgaa,"Gávavencsellő alsó",megszűnt kisvasúti,"Vencsellő község",
wgaf,"Gávavencsellő felső",megszűnt kisvasúti megállóhely,"Gáva község",48.165423:21.59344
gazt,"Gazdasági tanítóképző",(Felvidék/Szlovákia),"Komárno škola",
gazl,"Gázlós",(Felvidék/Szlovákia),"Brodské",
gbez,"",megállóhely (Felvidék/Szlovákia),"",
gecs,"Gecse-Gyarmat",állomás,"",47.456228:17.515123
gege,"Gégény",,"",48.128662:21.952557
gele,"Geletnek-Szklenófürdő",(Felvidék/Szlovákia),"Hliník nad Hronom",
gelz,"",(Felvidék/Szlovákia),"",
gels,"Gelse",állomás,"",46.600337:16.982672
wgmu,"Gemenc-Dunapart",kisvasúti állomás,"",
wgmd,"Gemenci delta",kisvasúti,"",
wgnc,"Gencs",megszűnt kisvasúti,"",
gena,"Gencsapáti alsó",megállóhely,"",47.285811:16.600111
genf,"Gencsapáti felső",megállóhely,"",47.299493:16.593765
wgep,"Gépállomás",megszűnt kisvasúti,"",
gerc,"Gérce",megszűnt állomás,"",47.211017:17.023505
wger,"Gerecse",megszűnt kisvasúti,"",
wgen,"Gerencepuszta",megszűnt kisvasúti,"",
gerj,"Gerje",megszűnt állomás,"",
gich,"Gic-Hathalom",megszűnt állomás,"",47.427992:17.747966
wgil,"Gilányi",megszűnt kisvasúti,"",
gocs,"Gócs",megállóhely (Felvidék/Szlovákia),"Gočovo",48.755457:20.416742
godi,"Godisa",állomás,"Bakóca-Godisa, Bakócza-Felső-Mindszent",46.223298:18.104705
wgod,"Godóvár",kisvasúti állomás,"",48.000063:18.900545
goga,"Gógánfa",megállóhely,"",47.021169:17.207668
gola,"Góla",megszűnt állomás,"",46.206607:17.045193
golo,"Golop",megállóhely,"",48.242504:21.20473
goms,"Gombaszög",megszűnt (Felvidék/Szlovákia),"",
gor_,"Gór",megszűnt megállóhely,"",
gork,"Gortvakisfalud",(Felvidék/Szlovákia),"Gortva",
gorz,"Gorzsa",megszűnt megállóhely,"",46.372105:20.429349
gosf,"Gősfa",megszűnt,"",46.957962:16.852003
grin,"Grinád",megállóhely (Felvidék/Szlovákia),"Pezinok zastávka",
wgub,"Gubás",megszűnt kisvasúti megállóhely,"",
guta,"Gúta",(Felvidék/Szlovákia),"Kolárovo",
wgut,"Guth",megszűnt kisvasúti megállóhely,"",
guto,"Gutorfölde",állomás,"",
gyal,"Gyál",állomás,"Gyálpuszta",47.375965:19.220213
gyaf,"Gyál felső",megállóhely,"Gyálpusztai szőlők",47.389404:19.205784
gyan,"Gyanafalva",állomás (Ausztria),"Jennersdorf",
gyar,"Gyarak",(Felvidék/Szlovákia),"Kmeťovo",
gyek,"Gyékényes",állomás,"",46.24925:16.955963
gykb,"Gyékényes-Kavicsbánya",teherpályaudvar,"",
gyen,"Gyenesdiás",megállóhely,"",
gerk,"Gyerk",megszűnt (Felvidék/Szlovákia),"Hrkovce",
wgeo,"Gyermekotthon",megszűnt kisvasúti,"",
gyet,"Gyetva",(Felvidék/Szlovákia),"Detva",
gyom,"Gyoma",állomás,"",46.927224:20.820879
gyoe,"Gyomai elágazás",megszűnt szolgálati hely,"Gyoma-Nagyállás",46.947845:20.802441
gyon,"Gyón",megállóhely,"",47.180649:19.351379
gyop,"Gyopárosfürdő",megállóhely,"Gyopárosfürdő felső",46.567716:20.630574
gyps,"Gyopárosi szőlők",megszűnt megállóhely,"",
gyor,"Győr",állomás,"",47.682029:17.634118
gygs,"Győr GySEV",megszűnt állomás,"",
gydu,"Győr-Dunapart",megszűnt teherpályaudvar,"",
gygy,"Győr-Gyárváros",megállóhely,"",47.684512:17.663511
gygo,"Győr-Gönyű Kikötő",teherpályaudvar,"",
gynv,"Győr-Növényolajgyár",teherpályaudvar,"",
gyrn,"Győr-Rendező",teherpályaudvar,"",
gyvg,"Győr-Vagongyár",megszűnt teherpályaudvar,"",
gyas,"Győrasszonyfa",megállóhely,"",47.494036:17.79893
gyip,"Győri ipartelepek",megszűnt megállóhely,"",
gysa,"Győrszabadhegy",állomás,"",47.663385:17.648203
gyse,"Győrszemere",állomás,"",47.567168:17.58466
gysi,"Győrszentiván",állomás,"",47.688769:17.746093
gyte,"Győrtelek",megállóhely,"",47.936848:22.424732
gyta,"Győrtelek alsó",állomás,"Győrtelek-Jékey tanya",47.921064:22.443387
gyva,"Győrvár",megállóhely,"",46.989733:16.842156
wgyb,"Gyóta-Busvár",kisvasúti,"",
gyul,"Gyula",állomás,"",46.6564:21.273342
wgyg,"Gyula GV",megszűnt kisvasúti állomás,"",
gyuj,"Gyula-Jánoszug",megszűnt megállóhely,"",46.659263:21.21035
gyuh,"Gyulaháza",megszűnt megállóhely,"",
gyuv,"Gyulai városerdő",megállóhely,"",46.694878:21.322777
gyum,"Gyulamező",megszűnt megállóhely,"",
wgyi,"Gyulavári",megszűnt kisvasúti,"",
gyup,"Gyurgyókapuszta",megszűnt megállóhely,"",
gyug,"Gyügér",megszűnt megállóhely,"",
gylv,"Gyülevész",megszűnt megállóhely,"",
gyur,"Gyüre",állomás,"",
gyok,"Gyökérkút",megállóhely,"",47.617585:21.006007
gyro,"Gyömrő",állomás,"Gyömrő-Kócánpuszta",47.429632:19.393939
gyrt,"Gyömrő-Tófürdő",megszűnt megállóhely,"",
gyre,"Gyömöre",állomás,"",47.485289:17.55878
gymt,"Gyömöre-Tét",megállóhely,"Gyömöre-Vásártér",47.501627:17.559551
gyfm,"Gyöngyfa-Magyarmecske",megállóhely,"",45.983009:17.956922
gyng,"Gyöngyös",állomás,"",47.783101:19.937274
wgyn,"Gyöngyös EV",kisvasúti állomás,"Gyöngyös Előre",47.784036:19.933544
wgyf,"Gyöngyös felső",kisvasúti,"Gyöngyös Pajtás",
gyfa,"Gyöngyösfalu",megállóhely,"",47.316431:16.588587
gyha,"Gyöngyöshalász",megállóhely,"",47.744313:19.932386
gyhe,"Gyöngyöshermán",megállóhely,"",47.202856:16.657228
wgyl,"Gyöngyösoldal",kisvasúti,"",
wgys,"Gyöngyössolymos",kisvasúti,"",
wgyu,"Gyöngyössolymos-Fűtőház",megszűnt kisvasúti,"",
gyrl,"Györgyliget",megszűnt megállóhely,"",
wgyt,"Györgytarló",megszűnt kisvasúti megállóhely,"",
god_,"Göd",állomás,"",47.687847:19.137473
gdll,"Gödöllő",állomás,"",47.591821:19.358712
gdle,"Gödöllő Erzsébetpark",,"",
gdlh,"Gödöllő HÉV",állomás,"",
gdlp,"Gödöllő Palotakert",,"",
gdls,"Gödöllő Szabadság tér",,"",
gdla,"Gödöllő-Állami telepek",megállóhely,"Gödöllő méhészeti gazdaság",47.564312:19.375561
wgol,"Gölle",megszűnt kisvasúti állomás,"",
wgof,"Gölle felső",megszűnt kisvasúti megállóhely,"",
goln,"Gölnicbánya",(Felvidék/Szlovákia),"Gelnica",
golv,"Gölnicbánya város",(Felvidék/Szlovákia),"Gelnica mesto",
gmce,"Gömörcserepes",megszűnt (Felvidék/Szlovákia),"Hrnčiarksa Ves",
gmpa,"Gömörpanyit",(Felvidék/Szlovákia),"Gemerská Panica",
gmsi,"Gömörsid",(Felvidék/Szlovákia),"Šíd",
gmve,"Gömörvég",(Felvidék/Szlovákia),"Tisovec-Bánovo",
gonc,"Gönc",állomás,"",48.470526:21.261575
gonr,"Göncruszka",megállóhely,"",48.445405:21.24707
wgrd,"Görbed",megszűnt kisvasúti megállóhely,"",
gorb,"Görbeháza",megszűnt megállóhely,"",
wgok,"Görbekanyar",megszűnt kisvasúti állomás,"",
wgor,"Görbemajor",megszűnt kisvasúti,"",46.814484:19.595915
gorc,"Görcsöny",megszűnt állomás,"",
gorp,"Görénypuszta",megszűnt megállóhely,"",
gort,"Görgeteg",megszűnt állomás,"",
gorg,"Görögszállás",állomás,"",48.039948:21.555324
hacs,"",(Felvidék/Szlovákia),"",
haca,"",(Felvidék/Szlovákia),"",
hagy,"Hagymás",megszűnt megállóhely,"",
whag,"Hagymás GV",megszűnt kisvasúti,"",
hjba,"Hajdúbagos",megszűnt megállóhely,"",47.402932:21.662435
hjbo,"Hajdúböszörmény",állomás,"",47.668781:21.524049
hjdo,"Hajdúdorog",állomás,"",47.805379:21.493121
hjha,"Hajdúhadház",állomás,"",47.686794:21.679314
hjja,"Hajdújárás",(Szerbia),"Hajdukovo, &#1061;&#1072;&#1112;&#1076;&#1091;&#1082;&#1086;&#1074;&#1086;, Ludaspuszta",
hjna,"Hajdúnánás",állomás,"",47.831854:21.427607
hjsv,"Hajdúnánás-Vásártér",megállóhely,"",47.842802:21.407588
hjss,"Hajdúsámson",állomás,"",47.608074:21.754848
hjst,"Hajdúsámsoni tanyák",megszűnt megállóhely,"",
hjsg,"Hajdúszentgyörgy",megállóhely,"",47.608159:21.578433
hjso,"Hajdúszoboszló",állomás,"",47.429305:21.40695
hjvi,"Hajdúvid",megállóhely,"Vid",47.748602:21.508237
hjvo,"Hajdúvölgy",megszűnt megállóhely,"Székácsmajor",
hajm,"Hajmáskér",állomás,"",47.14101:18.009547
haju,"Hajmáskér-Újtelep",megállóhely,"",47.147713:18.039386
hajn,"Hajnalos",megállóhely,"",
hala,"Haláp",megállóhely,"",47.521645:21.818739
whlp,"Haláperdő",kisvasúti,"",
halt,"Halasi tanyák",megszűnt megállóhely,"",
whai,"Halastelki iskola",megszűnt kisvasúti megállóhely,"",
halr,"Halászaranyos",megszűnt megállóhely,"",
hall,"Halászlak",megállóhely,"Halásztelek",46.911196:20.562453
whal,"Halásztanya",megszűnt kisvasúti megállóhely,"",
hale,"Halesz",megszűnt megállóhely,"",
hali,"Halipuszta",megállóhely,"Tét-Felpéc, Felpécz-Halipuszta",47.520191:17.560593
halm,"Halmaj",állomás,"",48.246473:20.991397
whay,"Halyagos",kisvasúti,"",
wham,"Hamuház",kisvasúti,"",
whhz,"Hamuháza",megszűnt kisvasúti,"",
hans,"Hanság-Nagyerdő",megállóhely,"",
hanl,"Hanságliget",megállóhely,"Hansági tanyák",
hant,"Hantháza",megszűnt állomás,"Kupai Kovácsmajor",
hara,"Harádics",(Felvidék/Szlovákia),"Hradište pod Vrátnom",
harl,"Harangláb",megállóhely,"",
whar,"Harangod",megszűnt kisvasúti,"",
whra,"Haraszt",megszűnt kisvasúti megállóhely,"",
whrc,"Harica",megszűnt kisvasúti állomás,"Harica fűrésztelep",
whac,"Haricabánya",megszűnt kisvasúti állomás,"Ludnabánya",
hari,"Haris",megállóhely,"",
hrka,"Harka",állomás,"Harka-Kópháza, Magyarfalva",47.641568:16.619113
hrkk,"Harkakötöny",állomás,"",
hkny,"Harkány",megszűnt állomás,"Harkányfürdő",45.854682:18.224853
harm,"",(Felvidék/Szlovákia),"",
harj,"",(Felvidék/Szlovákia),"",
hrtm,"Harmann kitérő",(Szerbia),"",
whmh,"Hármashegyalja",kisvasúti,"",47.557575:21.834454
hudv,"Háromudvar-Túrirtovány",(Felvidék/Szlovákia),"Porúbka",
bufh,"Háros",állomás,"Budafok-Háros",47.412934:19.036354
hars,"Hársas-Nyitratormás",(Felvidék/Szlovákia),"Chrenovec",
whrs,"Hárshegy",kisvasúti állomás,"",47.535293:18.961489
hrta,"Harta",megszűnt állomás,"",46.695478:19.041159
whrt,"Hártókút",kisvasúti állomás,"",47.850893:19.020541
whau,"Határ u.",megszűnt kisvasúti,"Határút",
whcs,"Határcsárda",megszűnt kisvasúti,"",46.782138:19.53286
hatm,"Hatmajor",szolgálati hely,"",47.161305:16.696573
whts,"Hatos",megszűnt kisvasúti megállóhely,"",
what,"Hattyas-telep",megszűnt kisvasúti megállóhely,"",
hatv,"Hatvan",állomás,"",47.663621:19.67141
hatr,"Hatvan Rendező pu.",teherpályaudvar,"",47.651478:19.66285
hatk,"Hatvani kavicsbánya",megszűnt teherpályaudvar,"",47.62428:19.710397
hatw,"Hatvani vásártér",megszűnt,"",
hegp,"Hegedűs-puszta",(Felvidék/Szlovákia),"Violín",
hgyh,"Hegyeshalom",állomás,"",47.913472:17.146773
hgyf,"Hegyfalu",állomás,"",
hegk,"Hegykő",megszűnt megállóhely,"",
hejc,"Hejce-Vilmány",megállóhely,"",48.419291:21.245511
hjhj,"Hejőbába-Hejőpapi",megszűnt megállóhely,"",47.90951:20.916395
hjcs,"Hejőcsaba",megszűnt megállóhely,"",48.077647:20.784203
hjcm,"Hejőcsabai Cementművek",teherpályaudvar,"",
hjke,"Hejőkeresztúr",állomás,"",47.960367:20.869678
hjsa,"Hejőszalonta",megszűnt megállóhely,"",47.937096:20.893195
heke,"Hékéd",megállóhely,"",46.675071:20.266907
hele,"Helemba",megállóhely (Felvidék/Szlovákia),"Chľaba",
help,"Helpa",(Felvidék/Szlovákia),"Heľpa",
helv,"Helvécia",megszűnt állomás,"",46.85593:19.616065
henk,"Henckó",megállóhely (Felvidék/Szlovákia),"Henckovce",48.714681:20.430857
henc,"Hencse-Hedrehely",megszűnt állomás,"",
whem,"Hendrik major",megszűnt kisvasúti megállóhely,"",
herc,"Herceghalom",állomás,"",47.493876:18.744893
hsza,"Hercegszántó",megszűnt,"",
hrso,"Hercegszőllős",megszűnt megállóhely (Horvátország),"",
hrnd,"Herend",állomás,"",47.137035:17.760722
hers,"Heresznye",megszűnt megállóhely,"",
herp,"Hermánd papírgyár",teherpályaudvar (Felvidék/Szlovákia),"",
wheu,"Hermina u.",megszűnt kisvasúti,"",
wher,"Herminatanya",megszűnt kisvasúti állomás,"",
hern,"Hernád",megállóhely,"Alsóhernád",47.161394:19.401682
hrca,"Hernádcsány",állomás (Felvidék/Szlovákia),"Čaňa",
hrge,"Hernádgecse",(Felvidék/Szlovákia),"Geča",
hrgo,"Hernádgönyű",(Felvidék/Szlovákia),"Gyňov",
hrnb,"Hernádnémeti-Bőcs",állomás,"Hernádnémeti-Belsőbőcs",48.051511:20.985309
hrsa,"Hernádszentandrás",megszűnt megállóhely,"",
hrsz,"Hernádszurdok",megállóhely,"",
hrve,"Hernádvécse",megszűnt megállóhely,"",
hetn,"Hetény",állomás (Felvidék/Szlovákia),"Chotín",
hete,"Hetényegyháza",állomás,"Kisnyír",46.930899:19.59495
heta,"Hetényegyháza alsó",megszűnt megállóhely,"",
whek,"Hetes kitérő",megszűnt kisvasúti állomás,"",
hetv,"Hetvehely",megállóhely,"",46.128242:18.044984
heve,"Heves",állomás,"",
hevs,"Hevesi szőlők",megszűnt megállóhely,"",
hevv,"Hevesvezekény",megállóhely,"",
hevi,"Hévízgyörk",megállóhely,"",47.638878:19.525874
hidb,"Hidas-Bonyhád",állomás,"",46.269177:18.523303
hidn,"Hidasnémeti",állomás,"",48.508445:21.229882
hidv,"Hídvégardó",megszűnt megállóhely,"Bódvavendégi",
whit,"Hittanya",megszűnt kisvasúti megállóhely,"Móricgáti tanyák",46.638412:19.634384
hizs,"Hizsnyóviz",(Felvidék/Szlovákia),"Lubeník",
hlbo,"",(Felvidék/Szlovákia),"",
hnil,"",(Felvidék/Szlovákia),"",
hnuz,"",megállóhely (Felvidék/Szlovákia),"",
hoda,"Hodász",állomás,"",47.896191:22.213757
hodm,"Hódmezővásárhely",állomás,"",46.413281:20.339937
hodi,"Hódmezővásárhely-Ipartelepek",megszűnt megállóhely,"",46.406625:20.362283
hodu,"Hódmezővásárhely-Újváros",megszűnt megállóhely,"",46.413845:20.356537
hodn,"Hódmezővásárhelyi Népkert",megállóhely,"",46.403336:20.312836
hdnn,"",állomás,"Göding",
hdnz,"",megállóhely,"",
holk,"Hőlak",kisvasúti (Felvidék/Szlovákia),"Trenčianská Teplá obec",
hola,"Hőlak-Trencsénteplic",(Felvidék/Szlovákia),"Trenčianska Teplá",
