stop_id,stop_name,stop_type,stop_other,stop_coord
apaf,"Apafa",állomás,"",47.584035:21.655774
apag,"Apagy",állomás,"",47.95385:21.939064
apat,"Apátfalva",állomás,"",46.175165:20.580553
apap,"Apátipuszta",megszűnt (Felvidék/Szlovákia),"Husiná",
apav,"Apavára",megszűnt megállóhely,"",
apcz,"Apc-Zagyvaszántó",állomás,"",47.791281:19.668141
apor,"Áporka",megszűnt megállóhely,"",
apos,"Apostag",megszűnt állomás,"",46.88642:18.977749
aqun,"Aquincum",megállóhely,"",47.56811:19.048536
aqui,"Aquincum felső",megállóhely,"Aquincum MÁV mh.",47.565979:19.049875
aque,"Aquincum-elágazás",szolgálati hely,"",47.560604:19.046629
arad,"Arad",állomás (Románia/Erdély),"",
ardp,"Aradványpuszta",állomás,"",47.662858:21.842713
waju,"Arany János u.",megszűnt kisvasúti,"",
arap,"Aranyosapáti",állomás,"Kopócsapáti",
aram,"Aranyosmarót",(Felvidék/Szlovákia),"Zlaté Moravce",
arah,"Aranyosmarót megálló",megszűnt (Felvidék/Szlovákia),"",
aran,"Aranyospuszta",megszűnt,"",
arki,"Árkipuszta",megszűnt megállóhely,"",
arpi,"Árpád híd",megállóhely,"",47.539701:19.047171
waru,"Árpád utca",megszűnt kisvasúti megállóhely,"",
arpf,"Árpádföld",,"",
arph,"Árpádhalom",megszűnt állomás,"",
arpa,"Árpádszállás",megállóhely,"",46.866469:19.989458
wart,"Árpádtelep",megszűnt kisvasúti állomás,"",
arta,"Ártánd",megszűnt állomás,"Ártánd 39. sz. őrház",
wash,"Ásotthalom",megszűnt kisvasúti állomás,"",
wasf,"Ásotthalom felső",megszűnt kisvasúti megállóhely,"",
assa,"Assakürt",(Felvidék/Szlovákia),"Nové Sady",
wasv,"Ásványbányarakodó",megszűnt kisvasúti állomás,"",
aszl,"Aszaló",megállóhely,"",48.220147:20.961916
aszr,"Ászár",megállóhely,"",47.518217:18.006543
aszk,"Ászár-Keményítőgyár",megállóhely,"",47.537147:18.01978
aszd,"Aszód",állomás,"",47.647775:19.492439
aszf,"Aszófő",állomás,"Aszófő-Tihany",46.925446:17.832485
ata_,"Áta",állomás,"",45.935805:18.307325
atka,"Atkár",megszűnt állomás,"",
atta,"Attala",megállóhely,"",46.368661:18.067455
wata,"Attala GV",megszűnt kisvasúti megállóhely,"",
watt,"Attilapuszta",megszűnt kisvasúti megállóhely,"",
autg,"Autógyár főbejárat",megszűnt megállóhely,"",
babi,"",megszűnt (Felvidék/Szlovákia),"",
wbab,"Babó I.",megszűnt kisvasúti,"",
wbao,"Babó II.",megszűnt kisvasúti,"",
babo,"Babócsa",állomás,"",46.028391:17.342501
wbbo,"Bábolna",megszűnt kisvasúti megállóhely,"",
wbam,"Babómajor",megszűnt kisvasúti megállóhely,"",
babm,"Bábonymegyer",állomás,"Nagybábony-Koppánymegyer",46.746135:18.110089
bcsa,"Bácsalmás",állomás,"",
bcgy,"Bácsalmási gyümölcsös",megszűnt megállóhely,"",
bcst,"Bácsalmási tanyák",megszűnt megállóhely,"",
bcvo,"Bácsalmási vöröserdő",megszűnt megállóhely,"",
bcsb,"Bácsbokod-Bácsborsód",állomás,"",46.115662:19.160073
